Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
People_230_h;People;surgery;05297523;03574816;02800213;;;;;;;;;;;;;;;;;
People_231_h;People;skeleton;13763626;09334396;00044900;;;;;;;;;;;;;;;;;
People_232_h;People;surgery;00671351;03574816;02800213;;;;;;;;;;;;;;;;;
People_233_h;People;dead animal;05238282;00095280;00015388;;;;;;;;;;;;;;;;;
People_234_h;People;surgery;00671351;05297523;04493505;;;;;;;;;;;;;;;;;
People_235_h;People;dead body;07945657;05217859;05218119;;;;;;;;;;;;;;;;;
People_236_v;People;skeletons;07945657;05269901;05540121;;;;;;;;;;;;;;;;;
People_237_h;People;face skin;05600637;05238282;;;;;;;;;;;;;;;;;;
People_238_h;People;dead bodies;07945657;00095280;07942152;;;;;;;;;;;;;;;;;
People_239_h;People;skin disease;05238282;14070360;05577410;;;;;;;;;;;;;;;;;
People_240_h;People;skin disease;05238282;14070360;09917593;;;;;;;;;;;;;;;;;
People_241_h;People;eye disease;05311054;00247439;14070360;;;;;;;;;;;;;;;;;
People_242_v;People;dead sheep;00095280;02411705;03699591;;;;;;;;;;;;;;;;;
People_243_h;People;eye disease;05311054;00247439;14285662;;;;;;;;;;;;;;;;;
People_244_v;People;dentist;10004282;02800213;03574816;;;;;;;;;;;;;;;;;
People_245_v;People;skin disease;05238282;14070360;15121302;;;;;;;;;;;;;;;;;
People_246_h;People;black eye;14285662;14289387;05311054;;;;;;;;;;;;;;;;;
People_247_v;People;ear puncture;05320899;04024396;05538625;;;;;;;;;;;;;;;;;
People_248_h;People;jet planes;02691156;03595860;07942152;;;;;;;;;;;;;;;;;
People_249_h;People;airplane;02691156;07942152;;;;;;;;;;;;;;;;;;
People_250_h;People;boat;02858304;07942152;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
