Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_290_h;Objects;jet planes;03595860;;;;;;;;;;;;;;;;;;;;
Objects_291_h;Objects;car;02958343;08505573;;;;;;;;;;;;;;;;;;;
Objects_292_h;Objects;bicycle;02834778;04334599;;;;;;;;;;;;;;;;;;;
Objects_293_h;Objects;rusted car;02958343;02052983;04490091;;;;;;;;;;;;;;;;;;
Objects_294_h;Objects;bicycle;02834778;;;;;;;;;;;;;;;;;;;;
Objects_295_h;Objects;bicycle;02834778;04334599;;;;;;;;;;;;;;;;;;;
Objects_296_h;Objects;car;02958343;04334599;;;;;;;;;;;;;;;;;;;
Objects_297_h;Objects;scooter;03791053;00370869;;;;;;;;;;;;;;;;;;;
Objects_298_h;Objects;car;02958343;04520170;00143589;;;;;;;;;;;;;;;;;;
Objects_299_h;Objects;bicycle;02834778;03327234;04334599;;;;;;;;;;;;;;;;;;
Objects_300_h;Objects;jet planes;03595860;;;;;;;;;;;;;;;;;;;;
Objects_301_h;Objects;jet planes;03595860;;;;;;;;;;;;;;;;;;;;
Objects_302_h;Objects;bicycle;02834778;04334599;;;;;;;;;;;;;;;;;;;
Objects_303_h;Objects;bicycle;02834778;00385756;04334599;;;;;;;;;;;;;;;;;;
Objects_304_h;Objects;bicycle;02834778;00392812;04334599;;;;;;;;;;;;;;;;;;
Objects_305_h;Objects;scooter;04562122;04334599;;;;;;;;;;;;;;;;;;;
Objects_306_h;Objects;boat;02858304;09225146;;;;;;;;;;;;;;;;;;;
Objects_307_v;Objects;mower;03649909;00381097;;;;;;;;;;;;;;;;;;;
Objects_308_h;Objects;car;02958343;00392812;04334599;;;;;;;;;;;;;;;;;;
Objects_309_h;Objects;motorcycle;03790512;04334599;;;;;;;;;;;;;;;;;;;
Objects_310_h;Objects;car;02958343;;;;;;;;;;;;;;;;;;;;
Objects_311_h;Objects;bus;02924116;00393105;;;;;;;;;;;;;;;;;;;
Objects_312_h;Objects;car;02958343;;;;;;;;;;;;;;;;;;;;
