Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7
Faces_189_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{05261566} <noun.body> beard#1, face fungus#1, whiskers#1 -- (the hair growing on the lower part of a man's face);;;;;
Faces_190_h;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{05261566} <noun.body> beard#1, face fungus#1, whiskers#1 -- (the hair growing on the lower part of a man's face);;;;;
Faces_191_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{05261566} <noun.body> beard#1, face fungus#1, whiskers#1 -- (the hair growing on the lower part of a man's face);;;;;
Faces_192_h;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1, glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);;;;;
Faces_193_v;Faces;priest;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{03041964} <noun.artifact> clerical collar#1, Roman collar#1, dog collar1#2 -- (a stiff white collar with no opening in the front; a distinctive symbol of the clergy)";;;;;
Faces_194_h;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1, glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);;;;;
Faces_195_v;Faces;elderly woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";{04370048} <noun.artifact> sweater#1, jumper4#3 -- (a crocheted or knitted garment covering the upper part of the body);;;;
Faces_196_h;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{03419014} <noun.artifact> garment#1 -- (an article of clothing; ""garments of the finest silk"")";{04370048} <noun.artifact> sweater#1, jumper4#3 -- (a crocheted or knitted garment covering the upper part of the body);;;;
Faces_197_v;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";{04459362} <noun.artifact> towel#1 -- (a rectangular piece of absorbent cloth (or paper) for drying or wiping);;;;;
Faces_198_h;Faces;woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";{13152742} <noun.plant> leaf#1, leafage#1, foliage#1 -- (the main organ of photosynthesis and transpiration in higher plants);;;;;
Faces_199_v;Faces;elderly man;"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1, glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);;;;
Faces_200_h;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{03497657} <noun.artifact> hat#1, chapeau#1, lid1#3 -- (headdress that protects the head from bad weather; has shaped crown and usually a brim)";"{04356056} <noun.artifact> sunglasses#1, dark glasses#1, shades#1 -- (spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shades"")";{04587648} <noun.artifact> window#1 -- (a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air);"{00877127} <noun.act> look#2, looking1#1, looking at#1 -- (the act of directing the eyes toward something and perceiving it visually; ""he went out to have a look""; ""his look was fixed on her eyes""; ""he gave it a good looking at""; ""his camera does his looking for him"")";;
Faces_201_v;Faces;priest;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{01643620} <adj.all> old2#1 (vs. young#1) -- ((used especially of persons) having lived for a relatively long time or attained a specific age; ""his mother is very old""; ""a ripe old age""; ""how old are you?"")";"{10470779} <noun.person> priest#1 -- (a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders)";{03759954} <noun.artifact> microphone#1, mike#1 -- (device for converting sound waves into electrical energy);{07129867} <noun.communication> speaking1#1, speech production#1 -- (the utterance of intelligible speech);;
Faces_202_v;Faces;man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{05600637} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";{04459362} <noun.artifact> towel#1 -- (a rectangular piece of absorbent cloth (or paper) for drying or wiping);"{04356056} <noun.artifact> sunglasses#1, dark glasses#1, shades#1 -- (spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shades"")";;;
